Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,SQL,DOCKER,GO,LINUX,GIT,AWS,KUBERNETES,DJANGO,FLASK,MATH,DATA_SCIENCE_LIB
Менеджер по кадровому делопроизводству,https://hh.ru/vacancy/118411147,Отус,от 100000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Главный специалист по менеджменту инцидентов ИБ,https://hh.ru/vacancy/118575203,Газпромнефть-Региональные продажи,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Business Analyst for FinTech,https://hh.ru/vacancy/108617076,Мунэксперт,от 150000 до 170000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Team Lead Data Science в команду Прогноза промо-продаж,https://hh.ru/vacancy/118077884,X5 Tech,не указана,Более 6 лет,Нет,1,1,1,0,0,0,0,1,0,0,0,0
Дата-сайентист в Маркет,https://hh.ru/vacancy/109934658,Яндекс,не указана,От 3 до 6 лет,Нет,1,1,0,0,1,0,0,0,0,0,0,0
Главный инженер - Data Science,https://hh.ru/vacancy/118487328,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Специалист по эмиссионному антифроду,https://hh.ru/vacancy/118396490,Пэй Энджин,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Руководитель продукта «Оптимизатор и арбитрация» (Data Science),https://hh.ru/vacancy/115619740,Х5 Group,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
PV Lead & Country Safety Head Russia / Руководитель по фармакобезопасности,https://hh.ru/vacancy/118265462,Ventra,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Руководитель подгруппы Data Science, Рекламный аукцион и управление ставками",https://hh.ru/vacancy/110307284,Ozon,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Middle/Senior AI-engineer,https://hh.ru/vacancy/118833104,Честный знак.рф,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,1,0,1,0,0,0,1
Senior QA automation engineer (Python) тестирование back-end без UI (офис),https://hh.ru/vacancy/110817909,Hyper AdTech,от 200000 до 350000 RUR,Более 6 лет,Нет,1,1,0,0,1,0,0,0,0,0,0,0
Data Scientist,https://hh.ru/vacancy/118618592,АФЛТ-Системс,не указана,От 3 до 6 лет,Нет,1,0,1,1,0,0,0,1,0,0,0,0
Data Scientist в команду RecSys,https://hh.ru/vacancy/114930420,2ГИС,не указана,От 3 до 6 лет,Да,1,1,0,0,0,1,0,0,0,0,0,1
Владелец регуляторных моделей по малому бизнесу,https://hh.ru/vacancy/119088866,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Архитектор DWH,https://hh.ru/vacancy/109047798,IBS,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist/ML Engineer (команда SmartSearch),https://hh.ru/vacancy/116139971,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Бизнес-партнер по инновациям и финтех-решениям (Банк),https://hh.ru/vacancy/118259220,Cornerstone Russia,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий специалист технической поддержки корпоративных информационных систем,https://hh.ru/vacancy/118558299,"СИБУР, Группа компаний",не указана,От 1 года до 3 лет,Нет,0,1,0,0,1,0,0,0,0,0,0,0
Data Product Manager / Руководитель Data(ML) продуктов,https://hh.ru/vacancy/118689883,Марс,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Data Scientist (Специалист по языковым моделям),https://hh.ru/vacancy/118080402,СберМобайл,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,0,0,0,1
Консультант SAP HCM (PT),https://hh.ru/vacancy/119039804,"СИБУР, Группа компаний",не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
ML Engineer LLM,https://hh.ru/vacancy/117912989,The Skolkovo Institute of Science and Technology,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,1
"Руководитель группы Data Science, Ozon Travel",https://hh.ru/vacancy/116770909,Ozon,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Computer Vision Engineer (CV),https://hh.ru/vacancy/119063526,"Алабуга, ОЭЗ ППТ",от 375000 RUR,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,0,0,0,0,1
Менеджер по эконометрическому моделированию / Econometrician,https://hh.ru/vacancy/118761725,"Группа компаний «Group4Media», Управляющая компания",не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,1,0
"Старший разработчик Go, Виджеты рекомендаций",https://hh.ru/vacancy/104368503,Ozon,не указана,От 3 до 6 лет,Нет,1,1,0,1,1,0,0,1,0,0,0,0
Business development manager,https://hh.ru/vacancy/118362540,ABCstaff,от 200000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Руководитель группы Go, Сервисы отбора кандидатов",https://hh.ru/vacancy/117203898,Ozon,не указана,Более 6 лет,Да,1,1,0,1,0,0,0,1,0,0,0,0
Автор дисциплины “Базы данных для компьютерного зрения”,https://hh.ru/vacancy/119121858,Skillbox,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Python разработчик (MLOps) / Инженер поддержки ML-систем,https://hh.ru/vacancy/117449512,Т1,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,1,0,1,0,0,0,0
Senior Data Scientist (GigaChat Pretrain),https://hh.ru/vacancy/117569581,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist NLP (senior),https://hh.ru/vacancy/115553042,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Эксперт ИБ,https://hh.ru/vacancy/118619033,IDF Eurasia,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Python Developer (ML team),https://hh.ru/vacancy/116791808,Домклик,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,1
Руководитель Центра знаний (Team Lead Data Scientist),https://hh.ru/vacancy/118618735,Компания БКС,не указана,Более 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Team Lead Backend (Golang),https://hh.ru/vacancy/118297224,Холдем,не указана,Более 6 лет,Да,1,1,0,1,0,0,0,0,0,0,0,0
Senior Product Manager onco,https://hh.ru/vacancy/117565893,АстраЗенека,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist,https://hh.ru/vacancy/118001535,ЭР-Телеком,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,1
"Performance Marketing & Customer Acquisition Manager, Colombia",https://hh.ru/vacancy/117551561,Finstar Financial Group,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Senior Data Scientist в команду ""Разработка AI-решений БСР""",https://hh.ru/vacancy/118264750,СБЕР,не указана,От 3 до 6 лет,Да,1,1,1,0,0,0,0,0,0,1,0,1
Data Science TeamLead в команду рекомендаций,https://hh.ru/vacancy/117472213,АВИТО ТЕХ,не указана,Более 6 лет,Нет,1,0,0,1,0,0,0,0,0,0,0,1
Senior Data Scientist/ML Engineer (команда SmartSearch),https://hh.ru/vacancy/116788944,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist в команду предиктивной аналитики,https://hh.ru/vacancy/115481866,VK,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Автор курса «Аналитик данных +»,https://hh.ru/vacancy/117228070,Яндекс Практикум,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0
Руководитель команды Data Science в AI VK,https://hh.ru/vacancy/112305104,VK,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
MLOps инженер (Портал Москвы),https://hh.ru/vacancy/118810437,ГКУ Инфогород,не указана,От 3 до 6 лет,Да,1,1,1,1,1,0,1,1,0,0,0,1
Senior Data Scientist (Recommender Systems),https://hh.ru/vacancy/115557998,FunCorp,от 5000 до 6500 EUR,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Финансовый аналитик,https://hh.ru/vacancy/118143293,ЧЭМК,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Автор курса «Deep Learning»,https://hh.ru/vacancy/116391259,Яндекс Практикум,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
"Старший разработчик Go, Рантайм рекомендаций",https://hh.ru/vacancy/105817972,Ozon,не указана,От 3 до 6 лет,Да,1,1,1,1,1,0,0,0,0,0,0,0
Автор курса “Классическое компьютерное зрение”,https://hh.ru/vacancy/118185882,Skillbox,не указана,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Lead Data Scientist,https://hh.ru/vacancy/117912295,Эр-1,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,1,0,0,0,0,0,1
"Data Scientist - Специалист по анализу и моделированию данных (офис, Ташкент)",https://hh.ru/vacancy/117151435,AVO.UZ,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
"Автор на курс ""Специалист по Data Science""",https://hh.ru/vacancy/118562501,Яндекс Практикум,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Старший аналитик в долю Поиска,https://hh.ru/vacancy/117034137,Яндекс,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Assistant Professor - Data Science&AI (english),https://hh.ru/vacancy/81857296,Университет Иннополис,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Data scientist (LLM в корпоративном кредитовании),https://hh.ru/vacancy/118753687,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Senior Data Scientist NLP,https://hh.ru/vacancy/115937465,Navio (ООО Автотех),не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
"Senior Data Scientist, Рекомендации и персонализация",https://hh.ru/vacancy/118659937,Ozon,не указана,От 3 до 6 лет,Да,1,0,0,1,0,0,0,0,0,0,0,1
Middle+/Senior С# .NET,https://hh.ru/vacancy/117160639,АБК,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,0
Middle/Senior Data Scientist в области рекомендательных систем,https://hh.ru/vacancy/118702290,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,1,0,0,0,0,0,1
Assistant/Associate Professor - Software Development and Engineering (english),https://hh.ru/vacancy/81857244,Университет Иннополис,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
DevOps инженер (DSAP) Middle/Senior,https://hh.ru/vacancy/110887433,Bell Integrator Регионы,не указана,От 3 до 6 лет,Да,1,1,0,1,1,0,0,1,0,0,0,0
Системный архитектор ML,https://hh.ru/vacancy/118893992,RDP.RU,не указана,От 3 до 6 лет,Да,0,0,1,0,0,0,0,1,0,0,0,0
MLOps-инженер,https://hh.ru/vacancy/118894335,RDP.RU,не указана,От 3 до 6 лет,Да,1,1,0,1,0,1,0,1,0,0,0,1
Руководитель группы эксплуатации систем технического документооборота,https://hh.ru/vacancy/117474471,"СИБУР, Группа компаний",не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Product Engineer / Indie-Hacker / PMM (TypeScript / Go / Data Science),https://hh.ru/vacancy/118960433,Хелоу,не указана,От 3 до 6 лет,Нет,1,0,0,1,0,0,0,1,0,0,0,0
Senior С# .NET,https://hh.ru/vacancy/103575683,АБК,не указана,От 3 до 6 лет,Нет,0,0,1,0,0,0,0,1,0,0,0,0
Senior Data Scientist в команду LLM-разметки в AI VK,https://hh.ru/vacancy/116084385,VK,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Консультант Optimacros,https://hh.ru/vacancy/118554173,"СИБУР, Группа компаний",не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Аналитик SML-данных,https://hh.ru/vacancy/117426697,i.com,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик на платформе Terrasoft Creatio (BPM'Online),https://hh.ru/vacancy/118274656,"СИБУР, Группа компаний",не указана,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
Senior Data Scientist,https://hh.ru/vacancy/118155129,СК Сбербанк страхование жизни,не указана,От 3 до 6 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,1
Senior Data scientist (Управление рисками корпоративных клиентов),https://hh.ru/vacancy/118724443,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
"Director of Human Resources (Bishkek, Kyrgyz Republic)",https://hh.ru/vacancy/118808732,University of Central Asia,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Database Manager (IT) | Cпециалист по внедрению БД (IT),https://hh.ru/vacancy/118105844,Whales DMCC,не указана,От 3 до 6 лет,Да,0,1,1,0,0,0,1,1,0,0,0,0
Senior С# .NET разработчик для ML-сервисов,https://hh.ru/vacancy/111980751,АБК,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Senior Chess Master/Math Modeller,https://hh.ru/vacancy/118044800,Betby,не указана,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Senior Product Manager (Карьерная платформа),https://hh.ru/vacancy/116098765,HeadHunter,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Автор курса «MLOps»,https://hh.ru/vacancy/116796844,Яндекс Практикум,не указана,От 1 года до 3 лет,Да,0,0,1,0,0,0,0,1,0,0,0,0
Senior Data Scientist (команда Поиска),https://hh.ru/vacancy/95077714,HeadHunter,от 450000 RUR,Более 6 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Эксперт Отдела корпоративных данных (Архитектор КХД),https://hh.ru/vacancy/118724028,НОВАТЭК,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0

Должность,Ссылка,Компания,Зарплата,Опыт,УдаленнаяРабота,PYTHON,SQL,DOCKER,GO,LINUX,GIT,AWS,KUBERNETES,DJANGO,FLASK,MATH,DATA_SCIENCE_LIB
"Junior Data Analyst/BI developer (блок ""Сеть Продаж"")",https://hh.ru/vacancy/118051262,СБЕР,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Frontend-разработчик,https://hh.ru/vacancy/118332531,CODex,от 80000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Frontend-разработчик,https://hh.ru/vacancy/118987277,АстраЗенека,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Fullstack QA (гибридный формат работы),https://hh.ru/vacancy/119124248,LIAN,до 260000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Python Developer Middle+,https://hh.ru/vacancy/119170068,АстраЗенека,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,0,0,0,0,0,0,0
"Разработчик Java, Факторы ранжирования",https://hh.ru/vacancy/119068156,Ozon,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,1,0,0,0,0
Java developer (middle),https://hh.ru/vacancy/118965013,JSA Group,не указана,От 1 года до 3 лет,Да,0,1,1,0,0,1,0,0,0,0,0,0
Веб-дизайнер,https://hh.ru/vacancy/118332598,CODex,от 75000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Бизнес-аналитик (гибридный формат работы),https://hh.ru/vacancy/118983101,LIAN,до 320000 RUR,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Директор департамента закупочной деятельности,https://hh.ru/vacancy/118909743,Российское общество Знание,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Младший аналитик данных // Junior data analyst,https://hh.ru/vacancy/119157837,"Группа компаний «Group4Media», Управляющая компания",не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Младший аналитик / Junior Data Science,https://hh.ru/vacancy/119169999,Mediascope,не указана,От 1 года до 3 лет,Нет,1,1,1,0,0,1,0,1,0,0,0,1
Data Scientist / Intern / Junior,https://hh.ru/vacancy/118070331,Aramco Innovations,не указана,Нет опыта,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Психолог-исследователь (Лаборатория нейронаук и поведения человека),https://hh.ru/vacancy/118991882,СБЕР,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
"Junior Data Scientist в команду ""Разработка AI-решений БСР""",https://hh.ru/vacancy/118264673,СБЕР,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,1
Стажер computer vision (задачи быстрой детекции и сегментации),https://hh.ru/vacancy/119122592,MindSet,не указана,Нет опыта,Да,1,0,1,0,1,1,0,0,0,0,1,0
IT-директор (CTO),https://hh.ru/vacancy/118184822,StaffRecruitment,от 900000 RUR,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Python-разработчик,https://hh.ru/vacancy/119133095,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,1,0,0,0
Системный администратор,https://hh.ru/vacancy/118048589,IDF Lab,не указана,От 1 года до 3 лет,Нет,0,0,0,0,1,0,0,0,0,0,0,0
Бизнес-аналитик (внедрение RPA и AI),https://hh.ru/vacancy/119104066,M-docs,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Стажер (Information Technology Talent Program),https://hh.ru/vacancy/119018943,АТОН,не указана,Нет опыта,Нет,0,1,0,0,1,0,0,0,0,0,0,0
Data analyst / Аналитик данных,https://hh.ru/vacancy/118901808,ЕВРОПЕЙСКИЙ МЕДИЦИНСКИЙ ЦЕНТР,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик данных,https://hh.ru/vacancy/118980717,Youstars,от 150000 RUR,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Количественный аналитик/трейдер,https://hh.ru/vacancy/118037626,Quanthill,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,1,0,0,0,0,0,1
Python-разработчик,https://hh.ru/vacancy/118246121,Inwizo,не указана,Нет опыта,Да,1,1,0,0,0,0,0,0,0,0,0,0
Data Engineer,https://hh.ru/vacancy/119171944,РобоФинанс,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,1,0,0,0,0
Стажер в аналитический департамент ВТБ Юниор,https://hh.ru/vacancy/118706797,Банк ВТБ (ПАО),от 75000 до 75000 RUR,Нет опыта,Нет,1,1,0,0,0,0,0,0,0,0,0,0
Middle+ backend developer Kotlin,https://hh.ru/vacancy/119174477,JSA Group,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Frontend-разработчик Vue.js,https://hh.ru/vacancy/118492380,LIAN,до 260000 RUR,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Системный аналитик,https://hh.ru/vacancy/118983934,LIAN,до 230000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Аналитик данных (проект Честный знак),https://hh.ru/vacancy/118972548,Coleman Group,от 150000 RUR,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Python-разработчик (банковский проект),https://hh.ru/vacancy/118562732,Volna.tech,от 130000 до 150000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,1,0,1,0,0,0,0
Менеджер проектов Big Data и Data Science,https://hh.ru/vacancy/119153845,Rubius,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,https://hh.ru/vacancy/119111801,Advantage Solutions,не указана,От 1 года до 3 лет,Да,1,1,1,0,0,1,0,0,0,0,0,0
Аналитик маркетплейсов (Wildberries и Ozon),https://hh.ru/vacancy/119170798,SKL Group,от 150000 RUR,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Аналитик данных/Дата-аналитик/Data Scientist,https://hh.ru/vacancy/118903039,Крупная компания,не указана,От 3 до 6 лет,Да,1,1,0,0,0,0,0,0,0,0,1,0
Директор по информационным технологиям (CIO),https://hh.ru/vacancy/115948874,StaffRecruitment,от 800000 RUR,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Владелец продукта / Product owner,https://hh.ru/vacancy/118497533,X5 Tech,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Software Engineer Blockchain,https://hh.ru/vacancy/118294988,Veretin Solutions Global,от 8000 до 9000 USD,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Backend разработчик (apache superset),https://hh.ru/vacancy/118809231,LIAN,до 250000 RUR,От 3 до 6 лет,Да,1,1,1,0,0,0,0,0,0,1,0,0
Reporting Engineer,https://hh.ru/vacancy/119172348,Нова Энерджис,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Продуктовый аналитик (гибридный формат работы),https://hh.ru/vacancy/118983388,LIAN,до 170000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
"Java разработчик, Поисковая платформа",https://hh.ru/vacancy/117835206,Ozon,не указана,От 3 до 6 лет,Да,0,1,0,0,0,0,0,1,0,0,0,0
Руководитель IT/ Product разработки,https://hh.ru/vacancy/119120121,JuicyScore,не указана,Более 6 лет,Нет,0,1,1,1,1,0,0,1,0,0,0,0
"Data Scientist (NLP, ИИ-агенты) в блок ""Стратегия и Развитие"")",https://hh.ru/vacancy/118264841,СБЕР,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,1
Бизнес-аналитик,https://hh.ru/vacancy/119085751,Ростелеком,от 135000 до 135000 RUR,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Инженер DevOps,https://hh.ru/vacancy/118467288,GlowByte,не указана,От 1 года до 3 лет,Нет,1,1,1,0,1,0,0,1,0,0,0,0
Middle Analyst / Аналитик,https://hh.ru/vacancy/118961722,Okkam,не указана,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,1,0
Quantitative Researcher,https://hh.ru/vacancy/118056281,OpenHiring,от 300000 до 600000 RUR,От 1 года до 3 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Data Science разработчик финансовых моделей,https://hh.ru/vacancy/117964888,Альфа-Банк,не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,1,0,0,0,0,1,0
Middle/Middle+ Python разработчик (IDP GigaSearch),https://hh.ru/vacancy/119016217,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,1,0,0,0
Data Science,https://hh.ru/vacancy/117956557,Альфа-Банк,не указана,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,0
AI/Prompt engineer,https://hh.ru/vacancy/118263295,LeadsUp,от 87000 до 130000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0
Аналитик данных (Data Analyst),https://hh.ru/vacancy/118704325,Национальный исследовательский университет Высшая школа экономики,до 100000 RUR,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Middle java разработчик (г. Домодедово),https://hh.ru/vacancy/119088215,Российские железные дороги,не указана,От 1 года до 3 лет,Нет,0,1,1,0,0,1,0,1,0,0,0,0
IOS Developer,https://hh.ru/vacancy/117683894,Data-Driven Lab,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
HR ассистент,https://hh.ru/vacancy/119058699,LIAN,от 40000 RUR,Нет опыта,Да,0,0,0,0,0,0,0,0,0,0,0,0
Java разработчик (middle+/senior),https://hh.ru/vacancy/118255320,Альфа-Банк,не указана,От 3 до 6 лет,Да,0,0,0,0,1,0,0,0,0,0,0,0
Product Owner ML/AI,https://hh.ru/vacancy/118916132,RDP.RU,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Портфельный риск-менеджер,https://hh.ru/vacancy/119152905,Альфа-Банк,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Data scientist/Data Аналитик,https://hh.ru/vacancy/118975236,"Hi, Rockits!",от 220000 RUR,От 3 до 6 лет,Нет,1,1,0,0,0,0,0,0,0,0,0,1
Аналитик данных (Data Scientist),https://hh.ru/vacancy/107859588,"Глобус, Сеть гипермаркетов",не указана,От 1 года до 3 лет,Нет,1,1,0,0,0,0,0,0,0,0,1,0
Outreach B2B Lead Generation US EU,https://hh.ru/vacancy/118918852,Insquad,от 1500 до 3000 USD,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик PHP Senior,https://hh.ru/vacancy/118757925,LIAN,до 300000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Руководитель направления по внедрению AI,https://hh.ru/vacancy/119133419,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,0,0,0,0,0
Backend-разработчик,https://hh.ru/vacancy/118332497,CODex,от 100000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
Project manager B2U,https://hh.ru/vacancy/118974511,Карпов Курсес,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Руководитель проектов IT (Project Manager),https://hh.ru/vacancy/117623329,Гудфокаст,не указана,От 1 года до 3 лет,Да,0,1,1,0,0,0,0,1,0,0,0,0
Разработчик Инновационных Продуктов | Rocker Sciece IT,https://hh.ru/vacancy/118268087,Gybernaty,не указана,От 1 года до 3 лет,Да,1,0,1,1,0,0,1,1,1,0,0,0
Разработчик 1С (Розница),https://hh.ru/vacancy/119072425,LIAN,от 300000 до 350000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Chief Data Officer (CDO),https://hh.ru/vacancy/118833845,Rubbles,не указана,Более 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,1
Руководитель проектов позиционирования лояльности и нефинансовых сервисов,https://hh.ru/vacancy/118964760,Альфа-Банк,не указана,Нет опыта,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Разработчик дашбордов в BI-системе,https://hh.ru/vacancy/118157030,ФГАНУ ФИЦТО,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Руководитель IT проектов,https://hh.ru/vacancy/118232781,Эмбедика,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Product manager,https://hh.ru/vacancy/118081508,iConText Group,не указана,От 1 года до 3 лет,Да,1,1,0,0,0,0,0,0,0,0,0,0
Middle+ backend developer Kotlin,https://hh.ru/vacancy/118915480,JSA Group,не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Technical Support / Pre-Sales Expert ﻿(M3 Mobile),https://hh.ru/vacancy/119053917,Торговый Отдел Посольства Республики Корея,от 3000 USD,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
